GO:0000005	obsolete ribosomal chaperone activity
GO:0003817	obsolete complement factor D activity
GO:0003818	obsolete complement factor I activity
GO:0003819	obsolete major histocompatibility complex antigen
GO:0003820	obsolete class I major histocompatibility complex antigen
GO:0003821	obsolete class II major histocompatibility complex antigen
GO:0003822	obsolete MHC-interacting protein
GO:0003823	antigen binding
GO:0003824	catalytic activity
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0003826	alpha-ketoacid dehydrogenase activity
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0003828	alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity
GO:0003829	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity
GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity
GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity
GO:0003832	beta-alanyl-dopamine hydrolase activity
GO:0003833	beta-alanyl-dopamine synthase activity
GO:0003834	beta-carotene 15,15'-monooxygenase activity
GO:0003835	beta-galactoside alpha-2,6-sialyltransferase activity
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
GO:0003837	beta-ureidopropionase activity
GO:0003838	sterol 24-C-methyltransferase activity
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0003840	obsolete gamma-glutamyltransferase activity
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0003843	1,3-beta-D-glucan synthase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0003845	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
GO:0003846	2-acylglycerol O-acyltransferase activity
GO:0003847	1-alkyl-2-acetylglycerophosphocholine esterase activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003849	3-deoxy-7-phosphoheptulonate synthase activity
GO:0003850	2-deoxyglucose-6-phosphatase activity
GO:0003851	2-hydroxyacylsphingosine 1-beta-galactosyltransferase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0003853	2-methylacyl-CoA dehydrogenase activity
GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogenase activity
GO:0003855	3-dehydroquinate dehydratase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003858	3-hydroxybutyrate dehydrogenase activity
GO:0003859	3-hydroxybutyryl-CoA dehydratase activity
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity
GO:0003861	3-isopropylmalate dehydratase activity
GO:0003862	3-isopropylmalate dehydrogenase activity
GO:0003863	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0003866	3-phosphoshikimate 1-carboxyvinyltransferase activity
GO:0003867	4-aminobutyrate transaminase activity
GO:0003868	4-hydroxyphenylpyruvate dioxygenase activity
GO:0003870	5-aminolevulinate synthase activity
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0003872	6-phosphofructokinase activity
GO:0003873	6-phosphofructo-2-kinase activity
GO:0003874	6-pyruvoyltetrahydropterin synthase activity
GO:0003875	ADP-ribosylarginine hydrolase activity
GO:0003876	AMP deaminase activity
GO:0003877	ATP adenylyltransferase activity
GO:0003878	ATP citrate synthase activity
GO:0003879	ATP phosphoribosyltransferase activity
GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
GO:0003881	CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity
GO:0003882	CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0003883	CTP synthase activity
GO:0003884	D-amino-acid oxidase activity
GO:0003885	D-arabinono-1,4-lactone oxidase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity
GO:0003892	obsolete proliferating cell nuclear antigen
GO:0003896	DNA primase activity
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0003900	obsolete DNA-directed RNA polymerase I activity
GO:0003901	obsolete DNA-directed RNA polymerase II activity
GO:0003902	obsolete DNA-directed RNA polymerase III activity
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003905	alkylbase DNA N-glycosylase activity
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003908	methylated-DNA-[protein]-cysteine S-methyltransferase activity
GO:0003909	DNA ligase activity
GO:0003910	DNA ligase (ATP) activity
GO:0003911	DNA ligase (NAD+) activity
GO:0003912	DNA nucleotidylexotransferase activity
GO:0003913	DNA photolyase activity
GO:0003914	DNA (6-4) photolyase activity
GO:0003916	DNA topoisomerase activity
GO:0003917	DNA topoisomerase type I activity
GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
GO:0003919	FMN adenylyltransferase activity
GO:0003920	GMP reductase activity
GO:0003921	GMP synthase activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0003923	GPI-anchor transamidase activity
GO:0003924	GTPase activity
GO:0003925	obsolete small monomeric GTPase activity
GO:0003926	obsolete ARF small monomeric GTPase activity
GO:0003927	obsolete heterotrimeric G-protein GTPase activity
GO:0003928	obsolete RAB small monomeric GTPase activity
GO:0003929	obsolete RAN small monomeric GTPase activity
GO:0003930	obsolete RAS small monomeric GTPase activity
GO:0003931	obsolete Rho small monomeric GTPase activity
GO:0003932	obsolete SAR small monomeric GTPase activity
GO:0003933	GTP cyclohydrolase activity
GO:0003934	GTP cyclohydrolase I activity
GO:0003935	GTP cyclohydrolase II activity
GO:0003936	obsolete hydrogen-transporting two-sector ATPase activity
GO:0003937	IMP cyclohydrolase activity
GO:0003938	IMP dehydrogenase activity
GO:0003939	L-iditol 2-dehydrogenase activity
GO:0003940	L-iduronidase activity
GO:0003941	L-serine ammonia-lyase activity
GO:0003942	N-acetyl-gamma-glutamyl-phosphate reductase activity
GO:0003943	N-acetylgalactosamine-4-sulfatase activity
GO:0003944	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity
GO:0003945	N-acetyllactosamine synthase activity
GO:0003947	(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity
GO:0003948	N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0003951	NAD+ kinase activity
GO:0003952	NAD+ synthase (glutamine-hydrolyzing) activity
GO:0003953	NAD+ nucleosidase activity
GO:0003954	NADH dehydrogenase activity
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0003956	NAD(P)+-protein-arginine ADP-ribosyltransferase activity
GO:0003957	NAD(P)+ transhydrogenase (B-specific) activity
GO:0003958	NADPH-hemoprotein reductase activity
GO:0003959	NADPH dehydrogenase activity
GO:0003960	NADPH:quinone reductase activity
GO:0003961	O-acetylhomoserine aminocarboxypropyltransferase activity
GO:0003962	cystathionine gamma-synthase activity
GO:0003963	RNA-3'-phosphate cyclase activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0003966	obsolete RNA-directed DNA polymerase, transposon encoded
GO:0003967	obsolete RNA-directed DNA polymerase, group II intron encoded
GO:0003968	RNA-directed 5'-3' RNA polymerase activity
GO:0003969	obsolete RNA editase activity
GO:0003972	RNA ligase (ATP) activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0003974	UDP-N-acetylglucosamine 4-epimerase activity
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
GO:0003976	UDP-N-acetylglucosamine-lysosomal-enzyme N-acetylglucosaminephosphotransferase activity
GO:0003977	UDP-N-acetylglucosamine diphosphorylase activity
GO:0003978	UDP-glucose 4-epimerase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003984	acetolactate synthase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003986	acetyl-CoA hydrolase activity
GO:0003987	acetate-CoA ligase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003990	acetylcholinesterase activity
GO:0003991	acetylglutamate kinase activity
GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GO:0003993	acid phosphatase activity
GO:0003994	aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003996	acyl-CoA ligase activity
GO:0003997	acyl-CoA oxidase activity
GO:0003998	acylphosphatase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0004000	adenosine deaminase activity
GO:0004001	adenosine kinase activity
GO:0004003	ATP-dependent DNA helicase activity
GO:0004004	ATP-dependent RNA helicase activity
GO:0004005	obsolete plasma membrane cation-transporting ATPase
GO:0004007	obsolete heavy metal-exporting ATPase activity
GO:0004008	copper-exporting ATPase activity
GO:0004009	obsolete ATP-binding cassette (ABC) transporter activity
GO:0004012	phospholipid-translocating ATPase activity
GO:0004013	adenosylhomocysteinase activity
GO:0004014	adenosylmethionine decarboxylase activity
GO:0004015	adenosylmethionine-8-amino-7-oxononanoate transaminase activity
GO:0004016	adenylate cyclase activity
GO:0004017	adenylate kinase activity
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity
GO:0004019	adenylosuccinate synthase activity
GO:0004020	adenylylsulfate kinase activity
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
GO:0004022	alcohol dehydrogenase (NAD) activity
GO:0004023	alcohol dehydrogenase activity, metal ion-independent
GO:0004024	alcohol dehydrogenase activity, zinc-dependent
GO:0004025	alcohol dehydrogenase activity, iron-dependent
GO:0004026	alcohol O-acetyltransferase activity
GO:0004027	alcohol sulfotransferase activity
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity
GO:0004029	aldehyde dehydrogenase (NAD) activity
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity
GO:0004031	aldehyde oxidase activity
GO:0004032	alditol:NADP+ 1-oxidoreductase activity
GO:0004033	aldo-keto reductase (NADP) activity
GO:0004034	aldose 1-epimerase activity
GO:0004035	alkaline phosphatase activity
GO:0004037	allantoicase activity
GO:0004038	allantoinase activity
GO:0004039	allophanate hydrolase activity
GO:0004040	amidase activity
GO:0004042	acetyl-CoA:L-glutamate N-acetyltransferase activity
GO:0004043	L-aminoadipate-semialdehyde dehydrogenase activity
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004046	aminoacylase activity
GO:0004047	aminomethyltransferase activity
GO:0004048	anthranilate phosphoribosyltransferase activity
GO:0004049	anthranilate synthase activity
GO:0004050	obsolete apyrase activity
GO:0004051	arachidonate 5-lipoxygenase activity
GO:0004052	arachidonate 12-lipoxygenase activity
GO:0004053	arginase activity
GO:0004054	arginine kinase activity
GO:0004055	argininosuccinate synthase activity
GO:0004056	argininosuccinate lyase activity
GO:0004057	arginyltransferase activity
GO:0004058	aromatic-L-amino-acid decarboxylase activity
GO:0004059	aralkylamine N-acetyltransferase activity
GO:0004060	arylamine N-acetyltransferase activity
GO:0004061	arylformamidase activity
GO:0004062	aryl sulfotransferase activity
GO:0004063	aryldialkylphosphatase activity
GO:0004064	arylesterase activity
GO:0004065	arylsulfatase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	asparaginase activity
GO:0004068	aspartate 1-decarboxylase activity
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0004071	aspartate-ammonia ligase activity
GO:0004072	aspartate kinase activity
GO:0004073	aspartate-semialdehyde dehydrogenase activity
GO:0004074	biliverdin reductase activity
GO:0004075	biotin carboxylase activity
GO:0004076	biotin synthase activity
GO:0004077	biotin-[acetyl-CoA-carboxylase] ligase activity
GO:0004078	biotin-[methylcrotonoyl-CoA-carboxylase] ligase activity
GO:0004079	biotin-[methylmalonyl-CoA-carboxytransferase] ligase activity
GO:0004080	biotin-[propionyl-CoA-carboxylase (ATP-hydrolyzing)] ligase activity
GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004082	bisphosphoglycerate mutase activity
